Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,55,8.5381091211995,10.5789254477301,15.1187005414411,10.4539775093711,8.87130362349021,11.6201582673886,10.2040816326531,12.411495210329,12.2032486463973,0.0297101449275362,0.0258130081300813,0.0364457831325301,0.0282657657657658,0.0262962962962963,0.0305921052631579,0.0311704834605598,0.0322510822510823,0.0277462121212121,115,164,166,148,135,152,131,154,176
2,56,12.5780924614744,9.62099125364431,11.3702623906706,10.4956268221574,9.66264056643065,10.6205747605165,10.4956268221574,14.493960849646,10.6622240733028,0.0322649572649573,0.0260135135135135,0.0364,0.0269230769230769,0.0251082251082251,0.0305755395683453,0.0311111111111111,0.0300518134715026,0.0278867102396514,156,148,125,156,154,139,135,193,153
2,57,7.5801749271137,11.6201582673886,13.9108704706372,11.6201582673886,8.62140774677218,9.95418575593503,8.45481049562682,12.6197417742607,15.6184922948771,0.0263768115942029,0.0267241379310345,0.0339430894308943,0.0287037037037037,0.0241258741258741,0.028452380952381,0.031039755351682,0.0348275862068966,0.0327225130890052,115,174,164,162,143,140,109,145,191
2,58,6.03915035401916,8.41316118284048,16.6180758017493,11.4535610162432,9.4960433152853,8.87130362349021,7.99666805497709,17.4094127446897,13.6609745939192,0.0239273927392739,0.0230593607305936,0.0329207920792079,0.0250455373406193,0.0262068965517241,0.0248251748251748,0.0242424242424243,0.0319571865443425,0.0292335115864528,101,146,202,183,145,143,132,218,187
2,59,6.6222407330279,13.0362349021241,12.036651395252,9.91253644314869,8.07996668054977,9.70428987921699,10.5789254477301,14.0774677217826,15.9516867971678,0.0230434782608696,0.0296401515151515,0.0295501022494888,0.0264444444444445,0.0224537037037037,0.0267816091954023,0.0271367521367521,0.0298059964726631,0.0319166666666667,115,176,163,150,144,145,156,189,200
2,60,7.45522698875469,8.7463556851312,13.9108704706372,10.7871720116618,8.45481049562682,10.7455226988755,9.91253644314869,15.7017909204498,14.2857142857143,0.0261695906432749,0.0241379310344828,0.0305860805860806,0.0237179487179487,0.0243405275779377,0.0273885350318471,0.0273563218390805,0.0352996254681648,0.0296200345423143,114,145,182,182,139,157,145,178,193
2,61,5.70595585172845,10.7871720116618,11.4535610162432,11.4535610162432,6.53894210745523,13.4527280299875,9.4960433152853,15.1187005414411,15.9933361099542,0.024290780141844,0.0273206751054852,0.0274451097804391,0.0256052141527002,0.0240061162079511,0.0311175337186898,0.026027397260274,0.034375,0.0326530612244898,94,158,167,179,109,173,146,176,196
2,62,7.53852561432736,11.7867555185339,10.8704706372345,10.079133694294,11.911703456893,9.41274468971262,10.7455226988755,15.5768429820908,12.0783007080383,0.026231884057971,0.0253584229390681,0.0273584905660377,0.0245934959349594,0.0237147595356551,0.0276960784313726,0.0245714285714286,0.0284627092846271,0.0255731922398589,115,186,159,164,201,136,175,219,189
2,63,7.66347355268638,9.57934194085798,10.4539775093711,11.2036651395252,9.37109537692628,9.37109537692628,10.3706788837984,18.2423990004165,13.7442732194919,0.0241469816272966,0.0247311827956989,0.0240421455938697,0.0249074074074074,0.0228658536585366,0.0258620689655173,0.0231843575418995,0.0301652892561984,0.0268292682926829,127,155,174,180,164,145,179,242,205
2,64,7.24698042482299,9.07955018742191,12.9945855893378,9.78758850478967,10.079133694294,8.78800499791753,10.2873802582257,15.7017909204498,16.0349854227405,0.0241666666666667,0.0232905982905983,0.0272251308900524,0.0249469214437367,0.0238658777120316,0.0237612612612613,0.0251016260162602,0.0308006535947713,0.0295698924731183,120,156,191,157,169,148,164,204,217
