group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,11,1,14.867617107943,12.571745972968,10.183299389002,12.0533234586188,13.2938344750972,10.6091464543603,8.53545639696353,9.90557304202925,7.98000370301796,0.0413065843621399,0.0332843137254902,0.0292864749733759,0.03390625,0.0346859903381642,0.0337455830388693,0.031881051175657,0.03150765606596,0.0295610425240055,324,340,313,320,345,283,241,283,243
2,12,20,11.6830216626551,10.775782262544,12.0162932790224,10.9609331605258,13.57156082207,12.1829290872061,7.27643029068691,9.96111831142381,11.571931123866,0.0288127853881278,0.0301242236024845,0.0281684027777778,0.0293650793650794,0.0286104605776737,0.0330321285140562,0.0246240601503759,0.027420998980632,0.0290157845868152,365,322,384,336,427,332,266,327,359
2,13,21,14.275134234401,13.8492871690428,12.1829290872061,10.9424180707276,12.8865024995371,10.5721162747639,8.5724865765599,7.40603591927421,9.31309016848732,0.037905604719764,0.0367748279252704,0.0328343313373253,0.033277027027027,0.0333333333333333,0.0322598870056497,0.0284747847478475,0.0298953662182362,0.02962308598351,339,339,334,296,348,295,271,223,283
2,14,22,11.9052027402333,12.4051101647843,11.979263099426,10.5350860951676,12.7568968709498,13.2197741159045,9.53527124606554,7.07276430290687,10.5906313645621,0.0294413919413919,0.0301801801801802,0.0277206512425021,0.0302981895633653,0.0286367414796342,0.032425068119891,0.0286111111111111,0.0282962962962963,0.0285429141716567,364,370,389,313,401,367,300,225,334
2,15,23,13.6085910016664,12.8309572301426,12.9235326791335,9.10942418070728,13.8863173486391,12.9235326791335,8.46139603777078,7.10979448250324,9.14645436030365,0.0300245098039215,0.0298449612403101,0.0284433577832111,0.0264516129032258,0.0285388127853881,0.0307760141093474,0.0246494066882416,0.0245210727969349,0.0245771144278607,408,387,409,310,438,378,309,261,335
2,16,24,14.275134234401,13.1271986669135,12.1273838178115,9.23902980929457,11.8311423810405,11.4238104054805,10.7017219033512,7.85039807443066,9.42418070727643,0.0319651741293532,0.0321105072463768,0.0286526684164479,0.0274477447744774,0.0275906735751295,0.0279438405797101,0.0261065943992773,0.0251482799525504,0.0250986193293886,402,368,381,303,386,368,369,281,338
2,17,25,13.5900759118682,11.2571745972968,10.0907239400111,10.3314201073875,13.5160155526754,14.0344380670246,8.07257915200889,9.18348453990002,9.92408813182744,0.041609977324263,0.0375308641975309,0.0356209150326797,0.0372,0.0388711395101171,0.0422519509476031,0.0317321688500728,0.036098981077147,0.0363143631436314,294,270,255,250,313,299,229,229,246
2,18,26,14.2010738752083,12.3680799851879,10.275874837993,9.12793927050546,13.4604702832809,12.8124421403444,9.29457507868913,8.01703388261433,10.4425106461766,0.0328620394173093,0.0303360581289737,0.0258379888268156,0.0298787878787879,0.0305976430976431,0.0293469041560644,0.0252769385699899,0.0262424242424242,0.0259668508287293,389,367,358,275,396,393,331,275,362
2,19,27,11.9052027402333,15.2379189039067,11.1090538789113,11.0720236993149,11.1831142381041,11.2016293279022,11.0164784299204,7.1653397518978,10.1092390298093,0.0341295116772824,0.0373751135331517,0.029585798816568,0.0337853107344633,0.0304128902316213,0.0347701149425287,0.0303261977573904,0.0280434782608696,0.0291666666666667,314,367,338,295,331,290,327,230,312
2,20,28,11.1275689687095,10.6646917237549,11.9237178300315,10.7202369931494,14.2566191446029,11.9977781892242,9.07239400111091,8.5724865765599,11.6645065728569,0.0285375118708452,0.0286567164179104,0.0278065630397236,0.0282163742690058,0.0288389513108614,0.0289544235924933,0.0263440860215054,0.0259820426487093,0.025609756097561,351,335,386,342,445,373,310,297,410
