group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6
1,19,14.2857142857143,11.9950020824656,16.2432319866722,16.1182840483132,19.9500208246564,21.4077467721783,0.0468579234972677,0.0455696202531646,0.05078125,0.0572485207100592,0.0584146341463414,0.0561135371179039,183,158,192,169,205,229
1,20,13.4110787172012,17.201166180758,14.618908788005,12.9945855893378,17.3677634319034,24.4064972927947,0.0425925925925926,0.0534974093264249,0.0445431472081218,0.0458823529411765,0.0540155440414508,0.0628755364806867,189,193,197,170,193,233
1,21,16.4514785506039,13.4527280299875,15.9100374843815,13.8275718450646,20.4081632653061,19.9500208246564,0.0452981651376147,0.048644578313253,0.0465853658536585,0.0463687150837989,0.0537280701754386,0.0498958333333333,218,166,205,179,228,240
1,22,16.6180758017493,11.0787172011662,17.9092044981258,16.2432319866722,18.6172428154935,19.533527696793,0.0441371681415929,0.0391176470588235,0.0457446808510638,0.049492385786802,0.0514976958525345,0.0509782608695652,226,170,235,197,217,230
1,23,16.4514785506039,10.4123281965848,18.1174510620575,17.1595168679717,19.3669304456476,18.4922948771345,0.0479368932038835,0.0383435582822086,0.0485491071428571,0.0502439024390244,0.055622009569378,0.0502262443438914,206,163,224,205,209,221
1,24,16.9096209912536,13.2444814660558,15.3685964181591,16.2432319866722,18.9920866305706,19.2419825072886,0.0495121951219512,0.0436813186813187,0.046125,0.0521390374331551,0.0584615384615384,0.052262443438914,205,182,200,187,195,221
1,25,17.3677634319034,11.5368596418159,16.8679716784673,15.2019991670137,19.283631820075,19.7417742607247,0.039638783269962,0.0325117370892019,0.0406626506024096,0.0388297872340425,0.0414874551971326,0.040721649484536,263,213,249,235,279,291
1,26,16.7013744273219,12.036651395252,15.9933361099542,17.0345689296127,19.0337359433569,19.2003331945023,0.0514102564102564,0.0445987654320988,0.0466019417475728,0.0571229050279329,0.0490343347639485,0.0498917748917749,195,162,206,179,233,231
1,27,17.201166180758,11.3286130778842,13.7026239067055,13.5360266555602,23.1153685964182,21.1162015826739,0.0423155737704918,0.0382022471910112,0.0421794871794872,0.0451388888888889,0.0533653846153846,0.050297619047619,244,178,195,180,260,252
1,28,17.326114119117,10.7038733860891,18.0758017492711,13.3277800916285,21.740941274469,18.8254893794252,0.0525252525252525,0.0391768292682927,0.0502314814814815,0.0454545454545454,0.0574889867841409,0.0576530612244898,198,164,216,176,227,196
1,29,19.9916701374427,11.5368596418159,13.7026239067055,15.8267388588088,20.6997084548105,18.2423990004165,0.0545454545454545,0.0455592105263158,0.0480994152046784,0.0568862275449102,0.0597355769230769,0.0484513274336283,220,152,171,167,208,226
1,30,16.2015826738859,10.1207830070804,16.6180758017493,14.9104539775094,20.2415660141608,21.9075385256143,0.0426535087719298,0.0353197674418605,0.0417364016736401,0.0403153153153153,0.0430851063829787,0.0466312056737588,228,172,239,222,282,282
2,1,16.9096209912536,11.8700541441066,18.5755935027072,14.993752603082,18.6172428154935,19.0337359433569,0.0404382470119522,0.0352722772277228,0.0458847736625514,0.0403587443946188,0.0429807692307692,0.0439423076923077,251,202,243,223,260,260
2,2,19.2003331945023,10.9954185755935,18.1174510620575,16.2432319866722,18.2007496876302,17.2428154935444,0.0512222222222222,0.0397590361445783,0.0538366336633663,0.0573529411764706,0.0517772511848341,0.0544736842105263,225,166,202,170,211,190
2,3,16.6597251145356,11.0370678883798,17.4094127446897,17.5343606830487,17.4510620574761,19.9083715118701,0.0448430493273542,0.0399096385542169,0.0488317757009346,0.0453663793103448,0.0473981900452488,0.0521834061135371,223,166,214,232,221,229
2,4,17.6176593086214,12.8696376509788,17.7426072469804,15.3269471053728,19.9083715118701,16.5347771761766,0.0487327188940092,0.0426795580110497,0.0535175879396985,0.0438095238095238,0.0479919678714859,0.0463785046728972,217,181,199,210,249,214
