Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7
2,13,8.20218478059619,22.2736530272172,8.03554897241252,19.8852064432512,7.0357341233105,22.0699870394371,12.479170523977,0.0262752075919336,0.0425690021231422,0.0271929824561404,0.0403153153153153,0.0249343832020997,0.044947209653092,0.0310313075506446,281,471,266,444,254,442,362
2,14,9.53527124606554,22.5884095537863,9.05387891131272,18.4039992593964,7.55415663765969,21.458989076097,11.4052953156823,0.0253195673549656,0.0378646803227808,0.0263754045307443,0.0369791666666666,0.0247272727272727,0.0379502292075966,0.0283609576427256,339,537,309,448,275,509,362
2,15,9.38715052768006,23.1623773375301,9.38715052768006,18.2373634512127,7.40603591927421,20.8109609331605,11.6089613034623,0.0241428571428571,0.0345198675496688,0.0251488095238095,0.0321265492498369,0.0241545893719807,0.034060606060606,0.0269329896907216,350,604,336,511,276,550,388
2,16,9.29457507868913,24.2732827254212,9.5908165154601,16.7746713571561,8.97981855211998,20.5517496759859,10.5350860951676,0.024535679374389,0.0369712351945854,0.0243192488262911,0.0312629399585921,0.0245694022289767,0.0338827838827838,0.0252216312056737,341,591,355,483,329,546,376
2,17,7.83188298463248,24.7731901499722,7.40603591927421,20.7183854841696,9.16496945010183,20.8109609331605,9.29457507868913,0.029746835443038,0.0509132420091324,0.0276625172890733,0.0467418546365914,0.0305555555555556,0.0449240607513988,0.0315723270440252,237,438,241,399,270,417,265
2,18,7.94297352342159,24.6250694315867,9.99814849102018,17.2745787817071,8.3132753193853,20.9961118311424,10.8313275319385,0.0244027303754266,0.0414330218068535,0.0266272189349112,0.033585313174946,0.0242965367965368,0.0384146341463414,0.0255235602094241,293,535,338,463,308,492,382
2,19,9.10942418070728,21.958896500648,8.68357711534901,21.4404739862988,8.51694130716534,21.1442325495279,9.14645436030365,0.0267100977198697,0.0426925845932325,0.0274269005847953,0.0444700460829493,0.0281862745098039,0.042485119047619,0.0264737406216506,307,463,285,434,272,448,311
2,20,8.55397148676171,22.4958341047954,8.33179040918349,19.6815404554712,8.46139603777078,20.9035363821515,11.571931123866,0.0229166666666667,0.0379213483146067,0.0238095238095238,0.0324481074481074,0.0242569002123142,0.0341500302480338,0.0262384550797649,336,534,315,546,314,551,397
2,21,8.81318274393631,23.3845584151083,8.29476022958711,19.1446028513238,9.29457507868913,21.4219588965006,9.62784669505647,0.0276422764227642,0.0396421845574388,0.0259259259259259,0.0355326460481099,0.0273420479302832,0.038260582010582,0.0269989615784008,287,531,288,485,306,504,321
2,22,8.35030549898167,23.1994075171265,8.49842621736715,18.8483614145529,10.4054804665803,21.4404739862988,9.23902980929457,0.0248896247240618,0.0387445887445887,0.0243630573248408,0.0344850948509485,0.0273080660835763,0.0358736059479553,0.0256687242798354,302,539,314,492,343,538,324
2,23,7.33197556008147,23.8289205702648,8.16515460099981,19.2742084799111,7.86891316422885,22.9401962599519,10.5906313645621,0.0216393442622951,0.0362331081081081,0.023482428115016,0.031374321880651,0.0220664589823468,0.0337970540098199,0.0241962774957699,305,592,313,553,321,611,394
2,24,8.85021292353268,20.1444177004258,7.05424921310868,19.8111460840585,7.2949453804851,24.6620996111831,12.1644139974079,0.0267337807606264,0.0387464387464387,0.0257085020242915,0.0411855273287144,0.0250636132315522,0.0437869822485207,0.0305865921787709,298,468,247,433,262,507,358
2,25,9.53527124606554,23.6807998518793,9.05387891131272,17.9411220144418,8.0540640622107,21.2923532679133,10.4425106461766,0.0248073217726397,0.0413113695090439,0.0268092105263158,0.0371264367816092,0.0264598540145985,0.0397648686030428,0.0260387811634349,346,516,304,435,274,482,361
2,26,8.0540640622107,22.8291057211627,9.22051471949639,18.9224217737456,7.20236993149417,22.6439548231809,11.0905387891131,0.0231629392971246,0.0352487135506003,0.0238505747126437,0.0325063613231552,0.0232377538829152,0.0367267267267267,0.0250837520938023,313,583,348,524,279,555,398
2,27,10.7202369931494,22.6254397333827,9.5908165154601,18.1262729124236,7.66524717644881,21.5515645250879,9.7204221440474,0.0267313019390582,0.0393939393939394,0.0275825346112886,0.0346426043878273,0.0250909090909091,0.0378167641325536,0.026840490797546,361,517,313,471,275,513,326
2,28,8.90575819292724,23.1623773375301,8.53545639696353,19.2556933901129,7.81336789483429,21.9033512312535,10.4054804665803,0.0257770632368703,0.0424643584521384,0.0271495877502945,0.0379285193289569,0.0268447837150127,0.042955700798838,0.0275490196078431,311,491,283,457,262,459,340
2,29,8.46139603777078,24.1436770968339,7.64673208665062,20.4036289576004,9.38715052768006,22.4032586558045,7.55415663765969,0.0286340852130326,0.0434666666666666,0.0266795865633075,0.0426140757927301,0.0276143790849673,0.0439360929557008,0.0263565891472868,266,500,258,431,306,459,258
2,30,7.96148861321977,24.6250694315867,9.57230142566191,19.0890575819293,8.22069987039437,20.4221440473986,10.1092390298093,0.0234972677595628,0.038152610441767,0.0241363211951447,0.0300934033858727,0.024025974025974,0.0324221046443268,0.0233933161953727,305,581,357,571,308,567,389
2,31,10.5536011849657,24.0140714682466,10.3684502869839,17.367154230698,9.44269579707462,18.3854841695982,9.86854286243288,0.0279411764705882,0.0464874551971326,0.0288957688338493,0.0371338083927157,0.0283333333333333,0.0382217090069284,0.0291256830601093,340,465,323,421,300,433,305
2,32,8.47991112756897,24.4954638029994,8.49842621736715,18.1262729124236,7.05424921310868,22.0144417700426,11.2942047768932,0.0238541666666667,0.0350556438791732,0.0231818181818182,0.0308443604284814,0.0230072463768116,0.0341078600114744,0.0246166263115416,320,629,330,529,276,581,413
3,1,8.35030549898167,23.3290131457138,9.40566561747825,17.9040918348454,8.09109424180707,22.1255323088317,10.7942973523422,0.0229166666666667,0.0333863275039745,0.0236499068901303,0.0278353483016695,0.0229035639412998,0.0313648293963254,0.0261904761904762,328,629,358,579,318,635,371
3,2,8.90575819292724,21.8107757822625,10.2018144788002,17.1449731531198,7.05424921310868,22.9216811701537,11.9607480096278,0.02520964360587,0.0372549019607843,0.0270894788593904,0.0308666666666666,0.0229241877256318,0.0362624487404803,0.0287878787878788,318,527,339,500,277,569,374
3,3,8.29476022958711,23.6252545824847,10.0351786706166,18.4225143491946,7.33197556008147,20.8665062025551,11.4238104054805,0.0240860215053764,0.0459323254139668,0.0280538302277433,0.0370991797166294,0.0254826254826255,0.0427866362946089,0.0302450980392157,310,463,322,447,259,439,340
3,4,10.1647842992039,22.1995926680244,9.36863543788187,17.5708202184781,7.36900573967784,23.3104980559156,9.99814849102018,0.0277272727272727,0.0426994301994302,0.0266877637130802,0.0361937452326468,0.0240338164251208,0.03989226869455,0.0289389067524116,330,468,316,437,276,526,311
3,5,7.85039807443066,25.4212182929087,10.6646917237549,17.5893353082762,6.70246250694316,23.0142566191446,8.73912238474357,0.0209693372898121,0.0341033283656234,0.0248062015503876,0.0275362318840579,0.0205915813424346,0.0315322171486555,0.0220973782771536,337,671,387,575,293,657,356
3,6,8.36882058877986,21.3293834475097,10.1647842992039,19.5519348268839,6.25810035178671,22.75504536197,11.5163858544714,0.0238396624472574,0.04,0.0259206798866855,0.0370526315789473,0.0224435590969456,0.0415483434753211,0.0283242258652095,316,480,353,475,251,493,366
3,7,10.1647842992039,22.3477133864099,10.3129050175893,16.5895204591742,7.10979448250324,24.3658581744121,9.10942418070728,0.0271513353115727,0.0371156211562115,0.0259310986964618,0.0312412831241283,0.0253968253968254,0.0416192283364958,0.0262820512820513,337,542,358,478,252,527,312
3,8,8.22069987039437,21.5330494352898,9.40566561747825,19.2742084799111,7.31346047028328,22.2921681170154,11.9607480096278,0.0226993865030675,0.0343067846607669,0.0234533702677747,0.0308170515097691,0.022938443670151,0.0368872549019607,0.0245254365983295,326,565,361,563,287,544,439
3,9,7.18385484169598,26.2358822440289,12.3125347157934,15.3490094426958,6.88761340492501,23.0327717089428,8.99833364191816,0.0255599472990777,0.0444758317639673,0.0333835341365462,0.0328186856690419,0.0257261410788382,0.0391194968553459,0.0272727272727273,253,531,332,421,241,530,297
3,10,8.4428809479726,23.8659507498611,9.49824106646917,17.7189409368635,9.55378633586373,20.5332345861877,10.3869653767821,0.0238244514106583,0.0381586737714624,0.0244985673352436,0.0301512287334593,0.0246418338108883,0.0310644257703081,0.0262640449438202,319,563,349,529,349,595,356
3,11,7.73930753564155,21.162747639326,7.83188298463248,20.5887798555823,6.23958526198852,21.9403814108498,14.4973153119793,0.0210473313192346,0.0309253246753246,0.0223101265822785,0.0287338501291989,0.0216859716859717,0.0306201550387596,0.0239010989010989,331,616,316,645,259,645,546
3,12,9.40566561747825,23.9214960192557,9.10942418070728,20.3295685984077,8.27624513978893,19.8111460840585,9.12793927050546,0.0245410628019324,0.0389391199517781,0.0238372093023256,0.0340148698884758,0.0252542372881356,0.0329028290282903,0.0247489959839357,345,553,344,538,295,542,332
3,13,8.97981855211998,24.2177374560267,9.18348453990002,18.959451953342,7.2949453804851,21.1442325495279,10.2203295685984,0.0268549280177187,0.0474945533769063,0.0269272529858849,0.0405384006334125,0.0255512321660182,0.0430618401206636,0.0306666666666667,301,459,307,421,257,442,300
3,14,8.7020922051472,23.2179226069246,9.68339196445103,18.4410294389928,7.57267172745788,21.4775041658952,10.9053878911313,0.0251875669882101,0.0400383141762452,0.0260199004975124,0.034297520661157,0.0260178117048346,0.0378343118069145,0.029043392504931,311,522,335,484,262,511,338
3,15,9.51675615626736,23.2734678763192,9.92408813182744,20.8850212923533,6.07294945380485,19.8666913534531,10.4610257359748,0.0235347985347985,0.0349166666666666,0.0233856893542757,0.031864406779661,0.021025641025641,0.0319916517590936,0.0258699633699634,364,600,382,590,260,559,364
